# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.000058477    0.000058477    0.000008900
    0.011009009    0.000643799    0.000643799    0.000097978
    0.021018018    0.001229241    0.001229241    0.000187062
    0.031027027    0.001814912    0.001814912    0.000276156
    0.041036036    0.002400923    0.002400923    0.000365263
    0.051045045    0.002987382    0.002987382    0.000454390
    0.061054054    0.003574401    0.003574400    0.000543540
    0.071063063    0.004162088    0.004162088    0.000632719
    0.081072072    0.004750554    0.004750554    0.000721930
    0.091081081    0.005339912    0.005339912    0.000811178
    0.101090090    0.005930273    0.005930273    0.000900469
    0.111099099    0.006521748    0.006521748    0.000989807
    0.121108108    0.007114452    0.007114452    0.001079195
    0.131117117    0.007708497    0.007708497    0.001168640
    0.141126126    0.008303999    0.008303999    0.001258146
    0.151135135    0.008901073    0.008901072    0.001347717
    0.161144144    0.009499835    0.009499835    0.001437358
    0.171153153    0.010100403    0.010100403    0.001527074
    0.181162162    0.010702896    0.010702895    0.001616869
    0.191171171    0.011307433    0.011307433    0.001706749
    0.201180180    0.011914136    0.011914136    0.001796718
    0.211189189    0.012523127    0.012523127    0.001886781
    0.221198198    0.013134530    0.013134530    0.001976942
    0.231207207    0.013748471    0.013748471    0.002067207
    0.241216216    0.014365076    0.014365076    0.002157579
    0.251225225    0.014984476    0.014984476    0.002248065
    0.261234234    0.015606799    0.015606799    0.002338669
    0.271243243    0.016232180    0.016232180    0.002429395
    0.281252252    0.016860752    0.016860752    0.002520250
    0.291261261    0.017492653    0.017492653    0.002611236
    0.301270270    0.018128021    0.018128020    0.002702361
    0.311279279    0.018766997    0.018766996    0.002793627
    0.321288288    0.019409725    0.019409725    0.002885042
    0.331297297    0.020056352    0.020056351    0.002976608
    0.341306306    0.020707026    0.020707025    0.003068333
    0.351315315    0.021361899    0.021361898    0.003160220
    0.361324324    0.022021125    0.022021125    0.003252274
    0.371333333    0.022684864    0.022684863    0.003344502
    0.381342342    0.023353274    0.023353274    0.003436907
    0.391351351    0.024026521    0.024026521    0.003529496
    0.401360360    0.024704773    0.024704772    0.003622273
    0.411369369    0.025388200    0.025388199    0.003715244
    0.421378378    0.026076978    0.026076977    0.003808414
    0.431387387    0.026771286    0.026771286    0.003901788
    0.441396396    0.027471308    0.027471307    0.003995372
    0.451405405    0.028177231    0.028177230    0.004089170
    0.461414414    0.028889247    0.028889247    0.004183190
    0.471423423    0.029607554    0.029607554    0.004277435
    0.481432432    0.030332353    0.030332353    0.004371912
    0.491441441    0.031063851    0.031063851    0.004466626
    0.501450450    0.031802261    0.031802261    0.004561583
    0.511459459    0.032547801    0.032547801    0.004656789
    0.521468468    0.033300695    0.033300695    0.004752248
    0.531477477    0.034061173    0.034061172    0.004847967
    0.541486486    0.034829470    0.034829470    0.004943952
    0.551495495    0.035605832    0.035605831    0.005040208
    0.561504505    0.036390506    0.036390506    0.005136742
    0.571513514    0.037183752    0.037183752    0.005233559
    0.581522523    0.037985834    0.037985834    0.005330666
    0.591531532    0.038797025    0.038797025    0.005428068
    0.601540541    0.039617607    0.039617607    0.005525771
    0.611549550    0.040447870    0.040447870    0.005623782
    0.621558559    0.041288113    0.041288113    0.005722107
    0.631567568    0.042138645    0.042138645    0.005820753
    0.641576577    0.042999786    0.042999785    0.005919725
    0.651585586    0.043871863    0.043871863    0.006019030
    0.661594595    0.044755219    0.044755218    0.006118675
    0.671603604    0.045650205    0.045650204    0.006218666
    0.681612613    0.046557184    0.046557183    0.006319009
    0.691621622    0.047476535    0.047476534    0.006419712
    0.701630631    0.048408646    0.048408645    0.006520782
    0.711639640    0.049353922    0.049353921    0.006622224
    0.721648649    0.050312782    0.050312781    0.006724047
    0.731657658    0.051285659    0.051285659    0.006826256
    0.741666667    0.052273005    0.052273004    0.006928859
    0.751675676    0.053275286    0.053275285    0.007031864
    0.761684685    0.054292988    0.054292987    0.007135277
    0.771693694    0.055326615    0.055326614    0.007239106
    0.781702703    0.056376691    0.056376690    0.007343359
    0.791711712    0.057443761    0.057443760    0.007448042
    0.801720721    0.058528392    0.058528391    0.007553163
    0.811729730    0.059631175    0.059631174    0.007658730
    0.821738739    0.060752724    0.060752724    0.007764752
    0.831747748    0.061893681    0.061893681    0.007871235
    0.841756757    0.063054714    0.063054714    0.007978187
    0.851765766    0.064236521    0.064236520    0.008085618
    0.861774775    0.065439829    0.065439828    0.008193535
    0.871783784    0.066665399    0.066665398    0.008301946
    0.881792793    0.067914026    0.067914025    0.008410859
    0.891801802    0.069186542    0.069186541    0.008520284
    0.901810811    0.070483816    0.070483815    0.008630229
    0.911819820    0.071806761    0.071806760    0.008740703
    0.921828829    0.073156332    0.073156331    0.008851714
    0.931837838    0.074533529    0.074533528    0.008963272
    0.941846847    0.075939404    0.075939403    0.009075386
    0.951855856    0.077375060    0.077375059    0.009188064
    0.961864865    0.078841657    0.078841656    0.009301317
    0.971873874    0.080340414    0.080340413    0.009415154
    0.981882883    0.081872614    0.081872613    0.009529585
    0.991891892    0.083439609    0.083439607    0.009644619
    1.001900901    0.085042822    0.085042821    0.009760267
    1.011909910    0.086683758    0.086683756    0.009876538
    1.021918919    0.088364000    0.088363999    0.009993443
    1.031927928    0.090085226    0.090085225    0.010110993
    1.041936937    0.091849207    0.091849206    0.010229197
    1.051945946    0.093657819    0.093657818    0.010348068
    1.061954955    0.095513049    0.095513048    0.010467615
    1.071963964    0.097417004    0.097417002    0.010587849
    1.081972973    0.099371920    0.099371918    0.010708783
    1.091981982    0.101380172    0.101380170    0.010830427
    1.101990991    0.103444287    0.103444286    0.010952794
    1.112000000    0.105566956    0.105566954    0.011075894
    1.122009009    0.107751044    0.107751042    0.011199741
    1.132018018    0.109999609    0.109999607    0.011324346
    1.142027027    0.112315918    0.112315917    0.011449722
    1.152036036    0.114703465    0.114703463    0.011575882
    1.162045045    0.117165988    0.117165987    0.011702838
    1.172054054    0.119707498    0.119707496    0.011830603
    1.182063063    0.122332295    0.122332293    0.011959192
    1.192072072    0.125045005    0.125045003    0.012088617
    1.202081081    0.127850605    0.127850603    0.012218893
    1.212090090    0.130754459    0.130754457    0.012350033
    1.222099099    0.133762354    0.133762352    0.012482052
    1.232108108    0.136880549    0.136880547    0.012614965
    1.242117117    0.140115817    0.140115814    0.012748786
    1.252126126    0.143475503    0.143475501    0.012883530
    1.262135135    0.146967586    0.146967583    0.013019213
    1.272144144    0.150600745    0.150600743    0.013155851
    1.282153153    0.154384441    0.154384439    0.013293460
    1.292162162    0.158329005    0.158329003    0.013432056
    1.302171171    0.162445740    0.162445737    0.013571656
    1.312180180    0.166747036    0.166747033    0.013712277
    1.322189189    0.171246505    0.171246503    0.013853935
    1.332198198    0.175959133    0.175959130    0.013996650
    1.342207207    0.180901453    0.180901450    0.014140438
    1.352216216    0.186091752    0.186091749    0.014285319
    1.362225225    0.191550302    0.191550299    0.014431310
    1.372234234    0.197299637    0.197299634    0.014578432
    1.382243243    0.203364867    0.203364864    0.014726704
    1.392252252    0.209774053    0.209774049    0.014876145
