# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:     9.527648031    9.527648024    9.893346702
    0.001000000    6.935781970    6.935781879    3.992071002
    0.011009009    6.935852151    6.935852061    3.992081694
    0.021018018    6.936039330    6.936039239    3.992110212
    0.031027027    6.936343541    6.936343450    3.992156555
    0.041036036    6.936764841    6.936764750    3.992220727
    0.051045045    6.937303309    6.937303218    3.992302730
    0.061054054    6.937959045    6.937958954    3.992402570
    0.071063063    6.938732172    6.938732081    3.992520250
    0.081072072    6.939622833    6.939622742    3.992655778
    0.091081081    6.940631194    6.940631104    3.992809160
    0.101090090    6.941757446    6.941757355    3.992980404
    0.111099099    6.943001798    6.943001707    3.993169520
    0.121108108    6.944364483    6.944364392    3.993376516
    0.131117117    6.945845758    6.945845667    3.993601404
    0.141126126    6.947445901    6.947445810    3.993844195
    0.151135135    6.949165214    6.949165123    3.994104902
    0.161144144    6.951004021    6.951003930    3.994383538
    0.171153153    6.952962671    6.952962580    3.994680119
    0.181162162    6.955041534    6.955041443    3.994994658
    0.191171171    6.957241006    6.957240915    3.995327174
    0.201180180    6.959561506    6.959561415    3.995677683
    0.211189189    6.962003478    6.962003386    3.996046202
    0.221198198    6.964567388    6.964567297    3.996432753
    0.231207207    6.967253731    6.967253640    3.996837354
    0.241216216    6.970063024    6.970062933    3.997260027
    0.251225225    6.972995810    6.972995719    3.997700794
    0.261234234    6.976052659    6.976052568    3.998159679
    0.271243243    6.979234166    6.979234074    3.998636704
    0.281252252    6.982540952    6.982540861    3.999131896
    0.291261261    6.985973668    6.985973576    3.999645279
    0.301270270    6.989532988    6.989532896    4.000176882
    0.311279279    6.993219618    6.993219526    4.000726732
    0.321288288    6.997034289    6.997034197    4.001294858
    0.331297297    7.000977764    7.000977672    4.001881291
    0.341306306    7.005050832    7.005050740    4.002486060
    0.351315315    7.009254315    7.009254223    4.003109198
    0.361324324    7.013589063    7.013588971    4.003750739
    0.371333333    7.018055958    7.018055866    4.004410716
    0.381342342    7.022655915    7.022655823    4.005089164
    0.391351351    7.027389878    7.027389786    4.005786119
    0.401360360    7.032258828    7.032258736    4.006501619
    0.411369369    7.037263776    7.037263684    4.007235701
    0.421378378    7.042405770    7.042405678    4.007988406
    0.431387387    7.047685892    7.047685800    4.008759772
    0.441396396    7.053105260    7.053105167    4.009549842
    0.451405405    7.058665029    7.058664936    4.010358658
    0.461414414    7.064366392    7.064366299    4.011186264
    0.471423423    7.070210580    7.070210487    4.012032704
    0.481432432    7.076198864    7.076198772    4.012898024
    0.491441441    7.082332556    7.082332464    4.013782270
    0.501450450    7.088613009    7.088612916    4.014685491
    0.511459459    7.095041618    7.095041525    4.015607736
    0.521468468    7.101619823    7.101619730    4.016549055
    0.531477477    7.108349108    7.108349015    4.017509500
    0.541486486    7.115231005    7.115230912    4.018489122
    0.551495495    7.122267091    7.122266998    4.019487976
    0.561504505    7.129458993    7.129458900    4.020506116
    0.571513514    7.136808390    7.136808296    4.021543599
    0.581522523    7.144317010    7.144316916    4.022600481
    0.591531532    7.151986634    7.151986541    4.023676821
    0.601540541    7.159819102    7.159819008    4.024772680
    0.611549550    7.167816306    7.167816212    4.025888116
    0.621558559    7.175980198    7.175980104    4.027023194
    0.631567568    7.184312791    7.184312697    4.028177976
    0.641576577    7.192816159    7.192816065    4.029352526
    0.651585586    7.201492441    7.201492346    4.030546912
    0.661594595    7.210343840    7.210343745    4.031761199
    0.671603604    7.219372630    7.219372535    4.032995457
    0.681612613    7.228581154    7.228581059    4.034249755
    0.691621622    7.237971830    7.237971735    4.035524164
    0.701630631    7.247547149    7.247547053    4.036818757
    0.711639640    7.257309682    7.257309586    4.038133608
    0.721648649    7.267262081    7.267261985    4.039468793
    0.731657658    7.277407082    7.277406986    4.040824387
    0.741666667    7.287747508    7.287747412    4.042200468
    0.751675676    7.298286272    7.298286176    4.043597117
    0.761684685    7.309026382    7.309026286    4.045014414
    0.771693694    7.319970943    7.319970847    4.046452442
    0.781702703    7.331123160    7.331123063    4.047911284
    0.791711712    7.342486344    7.342486247    4.049391025
    0.801720721    7.354063915    7.354063818    4.050891753
    0.811729730    7.365859408    7.365859311    4.052413556
