# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.001000000    6.460667144    6.460667110    3.524020871
    0.011009009    6.460173623    6.460173589    3.523946076
    0.021018018    6.459409246    6.459409212    3.523830572
    0.031027027    6.458522992    6.458522958    3.523697018
    0.041036036    6.457520153    6.457520119    3.523546201
    0.051045045    6.456401411    6.456401377    3.523378204
    0.061054054    6.455167094    6.455167060    3.523193054
    0.071063063    6.453817473    6.453817439    3.522990766
    0.081072072    6.452352816    6.452352782    3.522771356
    0.091081081    6.450773404    6.450773370    3.522534834
    0.101090090    6.449079533    6.449079499    3.522281214
    0.111099099    6.447271519    6.447271485    3.522010511
    0.121108108    6.445349698    6.445349664    3.521722738
    0.131117117    6.443314423    6.443314389    3.521417911
    0.141126126    6.441166070    6.441166036    3.521096046
    0.151135135    6.438905033    6.438904999    3.520757159
    0.161144144    6.436531725    6.436531692    3.520401270
    0.171153153    6.434046580    6.434046546    3.520028396
    0.181162162    6.431450048    6.431450015    3.519638557
    0.191171171    6.428742602    6.428742568    3.519231774
    0.201180180    6.425924729    6.425924695    3.518808068
    0.211189189    6.422996938    6.422996905    3.518367461
    0.221198198    6.419959755    6.419959721    3.517909977
    0.231207207    6.416813721    6.416813688    3.517435639
    0.241216216    6.413559399    6.413559366    3.516944472
    0.251225225    6.410197366    6.410197332    3.516436502
    0.261234234    6.406728216    6.406728182    3.515911756
    0.271243243    6.403152560    6.403152527    3.515370260
    0.281252252    6.399471026    6.399470993    3.514812043
    0.291261261    6.395684257    6.395684224    3.514237135
    0.301270270    6.391792910    6.391792877    3.513645565
    0.311279279    6.387797660    6.387797627    3.513037363
    0.321288288    6.383699194    6.383699161    3.512412562
    0.331297297    6.379498216    6.379498183    3.511771193
    0.341306306    6.375195442    6.375195408    3.511113291
    0.351315315    6.370791601    6.370791568    3.510438888
    0.361324324    6.366287439    6.366287406    3.509748020
    0.371333333    6.361683712    6.361683679    3.509040723
    0.381342342    6.356981188    6.356981155    3.508317032
    0.391351351    6.352180649    6.352180616    3.507576985
    0.401360360    6.347282889    6.347282856    3.506820621
    0.411369369    6.342288711    6.342288678    3.506047977
    0.421378378    6.337198931    6.337198899    3.505259093
    0.431387387    6.332014376    6.332014344    3.504454010
    0.441396396    6.326735882    6.326735850    3.503632768
    0.451405405    6.321364296    6.321364263    3.502795409
    0.461414414    6.315900472    6.315900440    3.501941977
    0.471423423    6.310345278    6.310345245    3.501072513
    0.481432432    6.304699585    6.304699553    3.500187063
    0.491441441    6.298964276    6.298964244    3.499285671
    0.501450450    6.293140242    6.293140210    3.498368381
    0.511459459    6.287228379    6.287228348    3.497435241
    0.521468468    6.281229594    6.281229562    3.496486298
    0.531477477    6.275144797    6.275144765    3.495521598
    0.541486486    6.268974906    6.268974874    3.494541190
    0.551495495    6.262720847    6.262720815    3.493545124
    0.561504505    6.256383548    6.256383517    3.492533447
    0.571513514    6.249963946    6.249963914    3.491506212
    0.581522523    6.243462980    6.243462949    3.490463468
    0.591531532    6.236881597    6.236881565    3.489405267
    0.601540541    6.230220744    6.230220713    3.488331662
    0.611549550    6.223481376    6.223481345    3.487242705
    0.621558559    6.216664449    6.216664418    3.486138450
    0.631567568    6.209770923    6.209770892    3.485018950
